l1,l2,l3,l4,l5
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33940000-1 Устаткування для транспортування та зберігання трупів та приладдя до нього,33942000-5 Засоби для транспортування трупів,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33940000-1 Устаткування для транспортування та зберігання трупів та приладдя до нього,33944000-9 Холодильні чи морозильні камери для моргів,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33950000-4 Устаткування та приладдя для клінічної та судової медицини,,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33950000-4 Устаткування та приладдя для клінічної та судової медицини,33951000-1 Матеріали для зняття відбитків пальців чи зліпків під час розтину,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33950000-4 Устаткування та приладдя для клінічної та судової медицини,33952000-8 Транспортне обладнання та допоміжне приладдя до нього,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33950000-4 Устаткування та приладдя для клінічної та судової медицини,33953000-5 Набори чи приладдя для дослідження слідів крові трупів,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33950000-4 Устаткування та приладдя для клінічної та судової медицини,33954000-2 Набори для забору біологічних матеріалів,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33960000-7 Устаткування та приладдя для бальзамування,,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33960000-7 Устаткування та приладдя для бальзамування,33963000-8 Бальзамувальні рідини чи хімічні засоби для бальзамування,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33960000-7 Устаткування та приладдя для бальзамування,33966000-9 Бальзамувальні набори,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33970000-0 Устаткування та приладдя для моргів,,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33970000-0 Устаткування та приладдя для моргів,33971000-7 Спеціальний одяг для персоналу моргів,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33970000-0 Устаткування та приладдя для моргів,33972000-4 Мішки для моргів,
"33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни",33900000-9 Устаткування та приладдя для моргів і розтинів,33970000-0 Устаткування та приладдя для моргів,33973000-1 Плівки для моргів,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,,,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34111000-8 Легкові автомобілі типів «універсал» та «седан»,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34111000-8 Легкові автомобілі типів «універсал» та «седан»,34111100-9 Легкові автомобілі типу «універсал»
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34111000-8 Легкові автомобілі типів «універсал» та «седан»,34111200-0 Легкові автомобілі типу «седан»
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34113000-2 Повнопривідні транспортні засоби,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34113000-2 Повнопривідні транспортні засоби,34113100-3 Джипи
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34113000-2 Повнопривідні транспортні засоби,34113200-4 Мотовсюдиходи
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34113000-2 Повнопривідні транспортні засоби,34113300-5 Позашляхові засоби транспортні
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114100-0 Аварійно-рятувальні транспортні засоби
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114120-6 Санітарні транспортні засоби
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114121-3 Автомобілі швидкої допомоги
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114122-0 Транспортні засоби для перевезення пацієнтів
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114200-1 Поліцейські автомобілі
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114300-2 Транспортні засоби служб соціальної допомоги
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34114000-9 Транспортні засоби спеціального призначення,34114400-3 Мікроавтобуси
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34115000-6 Інші легкові автомобілі,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34115000-6 Інші легкові автомобілі,34115200-8 Мототранспортні засоби для перевезення менше 10 осіб
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34110000-1 Легкові автомобілі,34115000-6 Інші легкові автомобілі,"34115300-9 Транспортні засоби, що були у використанні"
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34120000-4 Мототранспортні засоби для перевезення 10 і більше осіб,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34120000-4 Мототранспортні засоби для перевезення 10 і більше осіб,34121000-1 Міські та туристичні автобуси,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34120000-4 Мототранспортні засоби для перевезення 10 і більше осіб,34121000-1 Міські та туристичні автобуси,34121100-2 Громадські автобуси
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34120000-4 Мототранспортні засоби для перевезення 10 і більше осіб,34121000-1 Міські та туристичні автобуси,34121400-5 Низькопідлогові автобуси
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34120000-4 Мототранспортні засоби для перевезення 10 і більше осіб,34121000-1 Міські та туристичні автобуси,34121500-6 Туристичні автобуси
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34131000-4 Пікапи,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34133000-8 Автопоїзди,34133100-9 Автоцистерни
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34133000-8 Автопоїзди,34133110-2 Автоцистерни для перевезення паливно-мастильних матеріалів
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34134000-5 Евакуатори та самоскиди,34134100-6 Евакуатори
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34134000-5 Евакуатори та самоскиди,34134200-7 Самоскиди
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34136000-9 Фургони,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34136000-9 Фургони,34136200-1 Фургони з цільнометалевим кузовом
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,"34137000-6 Вантажні транспортні засоби, що були у використанні",
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34138000-3 Автотягачі,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34139000-0 Шасі,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34139000-0 Шасі,34139200-2 Шасі для кузова
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34130000-7 Мототранспортні вантажні засоби,34139000-0 Шасі,34139300-3 Суцільні шасі
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34142000-4 Автокрани та вантажні автомобілі-самоскиди,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34142000-4 Автокрани та вантажні автомобілі-самоскиди,34142100-5 Вантажні автомобілі з підіймальними платформами
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34142000-4 Автокрани та вантажні автомобілі-самоскиди,34142300-7 Вантажні автомобілі-самоскиди
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34143000-1 Транспортні засоби для утримання доріг узимку,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144210-3 Пожежні транспортні засоби
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144212-7 Пожежні автоцистерни
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144213-4 Пожежні автомобілі
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144220-6 Транспортні засоби аварiйно-ремонтного призначення
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144400-2 Транспортні засоби для утримання доріг
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144410-5 Автоцистерни для відкачування каналізаційних стоків
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144430-1 Підмітально-прибиральні машини
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144431-8 Підмітально-збиральні машини з вакуумно-пневматичною системою
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144440-4 Снігоприбиральні машини
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144500-3 Сміттєвози та асенізаційні машини
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144510-6 Сміттєвози
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144511-3 Сміттєзбиральні машини
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144512-0 Сміттєтрамбувальні машини
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144520-9 Асенізаційні автоцистерни
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144700-5 Транспортні засоби для технічного обслуговування
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34140000-0 Великовантажні мототранспортні засоби,34144000-8 Мототранспортні засоби спеціального призначення,34144750-0 Вантажоперевізні транспортні засоби
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34150000-3 Транспортні симулятори,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34100000-8 Мототранспортні засоби,34150000-3 Транспортні симулятори,34152000-7 Навчальні симулятори,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи",,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи",34210000-2 Кузови транспортних засобів,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи",34210000-2 Кузови транспортних засобів,"34211000-9 Кузови автобусів, автомобілів швидкої допомоги та вантажних транспортних засобів",
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи",34210000-2 Кузови транспортних засобів,"34211000-9 Кузови автобусів, автомобілів швидкої допомоги та вантажних транспортних засобів",34211300-9 Кузови вантажних транспортних засобів
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34221000-2 Пересувні контейнери спеціального призначення,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,34223100-7 Напівпричепи
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,34223200-8 Паливозаправники
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,34223300-9 Причепи
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,34223310-2 Причепи загального призначення
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,34223350-4 Причепи з поворотними драбинами
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери",34223000-6 Причепи та напівпричепи,34223370-0 Причепи-самоскиди
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери","34224000-3 Частини причепів, напівпричепів та інших транспортних засобів",
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери","34224000-3 Частини причепів, напівпричепів та інших транспортних засобів",34224100-4 Частини причепів та напівпричепів
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,"34200000-9 Кузови, причепи та напівпричепи","34220000-5 Причепи, напівпричепи та пересувні контейнери","34224000-3 Частини причепів, напівпричепів та інших транспортних засобів",34224200-5 Частини інших транспортних засобів
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34311000-0 Двигуни,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34311000-0 Двигуни,34311100-1 Двигуни внутрішнього згоряння для мототранспортних засобів і мотоциклів
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34311000-0 Двигуни,34311110-4 Двигуни з іскровим запалюванням
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34311000-0 Двигуни,34311120-7 Дизельні двигуни
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312100-8 Вентиляторні паси
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312200-9 Свічки запалювання
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312300-0 Автомобільні радіатори
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312400-1 Поршні
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312500-2 Ущільнювальні прокладки
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312600-3 Гумові конвеєрні стрічки
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,34310000-3 Двигуни та їх частини,34312000-7 Частини двигунів,34312700-4 Гумові приводні паси
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34321000-3 Осі та коробки передач,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34321000-3 Осі та коробки передач,34321100-4 Осі
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34321000-3 Осі та коробки передач,34321200-5 Коробки передач
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34322000-0 Гальма та частини гальм,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34322000-0 Гальма та частини гальм,34322100-1 Гальмівне обладнання
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34322000-0 Гальма та частини гальм,34322200-2 Дискові гальма
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34322000-0 Гальма та частини гальм,34322300-3 Гальмові накладки
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34322000-0 Гальма та частини гальм,34322400-4 Гальмові колодки (дискові)
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34322000-0 Гальма та частини гальм,34322500-5 Гальмові колодки (барабанні)
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів","34324000-4 Колеса, частини та приладдя до них",
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів","34324000-4 Колеса, частини та приладдя до них",34324100-5 Обладнання для балансування коліс
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34325000-1 Глушники та вихлопні труби,
34000000-7 Транспортне обладнання та допоміжне приладдя до нього,34300000-0 Частини та приладдя до транспортних засобів і їх двигунів,"34320000-6 Механічні запасні частини, крім двигунів і частин двигунів",34325000-1 Глушники та вихлопні труби,34325100-2 Глушники
